#【时间】@AOW_var_[巨构简写]_[巨构阶段]_TIME
#【资源】@AOW_var_[巨构简写]_[巨构阶段]_[COST/UPKP/PRDC]_[具体资源]_[特定行星]
#【修正】@AOW_var_[巨构简写]_[巨构阶段]_[修正代码]


######################## 小型巨构 ########################

#星光竞技场
@AOW_var_PBS_3_UPKP_energy = 37.5
@AOW_var_PBS_3_UPKP_alloys = 37.5
@AOW_var_PBS_4_TIME = 720
@AOW_var_PBS_4_COST_energy = 10000
@AOW_var_PBS_4_COST_sr = 250
@AOW_var_PBS_4_UPKP_energy = 50
@AOW_var_PBS_4_UPKP_alloys = 50

@AOW_var_PBSr_TIME = 1800
@AOW_var_PBSr_COST_energy = 10000
@AOW_var_PBSr_COST_alloys = 10000


#海军指挥基地
@AOW_var_NCB_0_TIME = 1800
@AOW_var_NCB_0_COST_alloys = 5000
@AOW_var_NCB_0_COST_unity = 2500
@AOW_var_NCB_0_UPKP_energy = 25
@AOW_var_NCB_1_TIME = 3600
@AOW_var_NCB_1_COST_alloys = 15000
@AOW_var_NCB_1_COST_unity = 2500
@AOW_var_NCB_1_UPKP_energy = 50
@AOW_var_NCB_1_naval_cap_add = 100
@AOW_var_NCB_1_command_limit_add = 10
@AOW_var_NCB_2_TIME = 3600
@AOW_var_NCB_2_COST_alloys = 15000
@AOW_var_NCB_2_COST_unity = 2500
@AOW_var_NCB_2_UPKP_energy = 75
@AOW_var_NCB_2_naval_cap_add = 200
@AOW_var_NCB_2_command_limit_add = 20
@AOW_var_NCB_3_TIME = 3600
@AOW_var_NCB_3_COST_alloys = 15000
@AOW_var_NCB_3_COST_unity = 2500
@AOW_var_NCB_3_UPKP_energy = 100
@AOW_var_NCB_3_naval_cap_add = 300
@AOW_var_NCB_3_command_limit_add = 30

#文物誊录宫
@AOW_var_ATP_0_TIME = 1800
@AOW_var_ATP_0_COST_alloys = 5000
@AOW_var_ATP_0_COST_unity = 2500
@AOW_var_ATP_0_UPKP_energy = 10
@AOW_var_ATP_1_TIME = 2700
@AOW_var_ATP_1_COST_alloys = 10000
@AOW_var_ATP_1_COST_unity = 2500
@AOW_var_ATP_1_PRDC_artifacts = 20
@AOW_var_ATP_1_UPKP_energy = 20
@AOW_var_ATP_2_TIME = 2700
@AOW_var_ATP_2_COST_alloys = 10000
@AOW_var_ATP_2_COST_unity = 2500
@AOW_var_ATP_2_PRDC_artifacts = 40
@AOW_var_ATP_2_UPKP_energy = 25
@AOW_var_ATP_3_TIME = 2700
@AOW_var_ATP_3_COST_alloys = 10000
@AOW_var_ATP_3_COST_unity = 2500
@AOW_var_ATP_3_PRDC_artifacts = 60
@AOW_var_ATP_3_UPKP_energy = 50
@AOW_var_ATP_4_TIME = 2700
@AOW_var_ATP_4_COST_alloys = 10000
@AOW_var_ATP_4_COST_unity = 2500
@AOW_var_ATP_4_PRDC_artifacts = 80
@AOW_var_ATP_4_UPKP_energy = 75
@AOW_var_ATP_5_TIME = 2700
@AOW_var_ATP_5_COST_alloys = 10000
@AOW_var_ATP_5_COST_unity = 2500
@AOW_var_ATP_5_PRDC_artifacts = 100
@AOW_var_ATP_5_UPKP_energy = 100

#纳米激活器
@AOW_var_NA_0_TIME = 1800
@AOW_var_NA_0_COST_alloys = 5000
@AOW_var_NA_0_COST_unity = 2500
@AOW_var_NA_0_UPKP_energy = 5
@AOW_var_NA_1_TIME = 3600
@AOW_var_NA_1_COST_alloys = 10000
@AOW_var_NA_1_COST_unity = 3750
@AOW_var_NA_1_UPKP_energy = 10
@AOW_var_NA_2_TIME = 3600
@AOW_var_NA_2_COST_energy = 5000
@AOW_var_NA_2_COST_alloys = 10000
@AOW_var_NA_2_COST_unity = 3750
@AOW_var_NA_2_UPKP_energy = 25
@AOW_var_NA_2_PRDC_nanites = 10
@AOW_var_NA_2_PRDC_nanites_GrayGoo = 15

#纳米转换器
@AOW_var_NT_0_TMIE = 1800
@AOW_var_NT_0_COST_alloys = 5000
@AOW_var_NT_0_COST_unity = 2500
@AOW_var_NT_0_UPKP_energy = 5
@AOW_var_NT_1_TIME = 3600
@AOW_var_NT_1_COST_alloys = 10000
@AOW_var_NT_1_COST_nanites = 100
@AOW_var_NT_1_COST_unity = 3750
@AOW_var_NT_1_UPKP_energy = 50
@AOW_var_NT_1_UPKP_nanites = 10
@AOW_var_NT_1_PRDC_motes = 25
@AOW_var_NT_1_PRDC_gases = 25
@AOW_var_NT_1_PRDC_crystals = 25
@AOW_var_NT_2_TIME = 3600
@AOW_var_NT_2_COST_alloys = 10000
@AOW_var_NT_2_COST_nanites = 100
@AOW_var_NT_2_COST_unity = 3750
@AOW_var_NT_2_UPKP_energy = 100
@AOW_var_NT_2_UPKP_nanites = 20
@AOW_var_NT_2_PRDC_motes = 50
@AOW_var_NT_2_PRDC_gases = 50
@AOW_var_NT_2_PRDC_crystals = 50

#轨道采集器
@AOW_var_OAS_0_TIME = 1800
@AOW_var_OAS_0_COST_alloys = 5000
@AOW_var_OAS_0_COST_unity = 2500
@AOW_var_OAS_1_TIME = 2700
@AOW_var_OAS_1_COST_alloys = 7500
@AOW_var_OAS_1_COST_unity = 2500
@AOW_var_OAS_1_UPKP_energy = 10
@AOW_var_OAS_2_TIME = 2700
@AOW_var_OAS_2_COST_energy = 12500
@AOW_var_OAS_2_COST_unity = 2500
@AOW_var_OAS_2_PRDC_energy = 325
@AOW_var_OAS_2_PRDC_gases = 15
@AOW_var_OAS_2_PRDC_no_gases = -15
@AOW_var_OAS_3_TIME = 3600
@AOW_var_OAS_3_COST_energy = 2500
@AOW_var_OAS_3_COST_alloys = 10000
@AOW_var_OAS_3_COST_unity = 2500
@AOW_var_OAS_3_PRDC_energy = 650
@AOW_var_OAS_3_PRDC_gases = 30
@AOW_var_OAS_3_PRDC_no_gases = -30

#行星开采器
@AOW_var_PMS_0_TIME = 1800
@AOW_var_PMS_0_COST_alloys = 5000
@AOW_var_PMS_0_COST_unity = 2500
@AOW_var_PMS_1_TIME = 2700
@AOW_var_PMS_1_COST_alloys = 7500
@AOW_var_PMS_1_COST_unity = 2500
@AOW_var_PMS_1_UPKP_energy = 10
@AOW_var_PMS_2_TIME = 2700
@AOW_var_PMS_2_COST_energy = 10000
@AOW_var_PMS_2_COST_unity = 2500
@AOW_var_PMS_2_UPKP_energy = 25
@AOW_var_PMS_2_UPKP_motes = 0
@AOW_var_PMS_2_PRDC_metal = 10
@AOW_var_PMS_2_PRDC_minerals_Common = 400
@AOW_var_PMS_2_PRDC_energy_Molten = 175
@AOW_var_PMS_2_PRDC_minerals_Molten = 175
@AOW_var_PMS_2_PRDC_alloys_Molten = 0
@AOW_var_PMS_2_PRDC_motes_Molten = 10
@AOW_var_PMS_2_PRDC_minerals_Toxic = 350
@AOW_var_PMS_2_PRDC_gases_Toxic = 10
@AOW_var_PMS_2_PRDC_minerals_Frozen = 350
@AOW_var_PMS_2_PRDC_crystals_Frozen = 10
@AOW_var_PMS_2_PRDC_minerals_EthaneOcean = 350
@AOW_var_PMS_2_PRDC_motes_EthaneOcean = 10
@AOW_var_PMS_2_PRDC_minerals_Iron = 350
@AOW_var_PMS_2_PRDC_alloys_Iron = 25
@AOW_var_PMS_2_PRDC_energy_Hydrocarbon = 200
@AOW_var_PMS_2_PRDC_minerals_Hydrocarbon = 200
@AOW_var_PMS_2_PRDC_energy_Volcanic = 175
@AOW_var_PMS_2_PRDC_minerals_Volcanic = 175
@AOW_var_PMS_2_PRDC_alloys_Volcanic = 25
@AOW_var_PMS_3_TIME = 3600
@AOW_var_PMS_3_COST_alloys = 10000
@AOW_var_PMS_3_COST_unity = 2500
@AOW_var_PMS_3_UPKP_energy = 50
@AOW_var_PMS_3_PRDC_metal = 20
@AOW_var_PMS_3_PRDC_minerals_Common = 800
@AOW_var_PMS_3_PRDC_minerals_CG = 600 #CG is consumer_goods
@AOW_var_PMS_3_PRDC_goods_CG = 200
@AOW_var_PMS_3_PRDC_energy_Molten = 350
@AOW_var_PMS_3_PRDC_minerals_Molten =350
@AOW_var_PMS_3_PRDC_alloys_Molten = 0
@AOW_var_PMS_3_PRDC_motes_Molten = 20
@AOW_var_PMS_3_PRDC_minerals_Toxic = 700
@AOW_var_PMS_3_PRDC_gases_Toxic = 20
@AOW_var_PMS_3_PRDC_minerals_Frozen = 700
@AOW_var_PMS_3_PRDC_crystals_Frozen = 20
@AOW_var_PMS_3_PRDC_minerals_EthaneOcean = 700
@AOW_var_PMS_3_PRDC_motes_EthaneOcean = 20
@AOW_var_PMS_3_PRDC_minerals_Iron = 700
@AOW_var_PMS_3_PRDC_alloys_Iron = 50
@AOW_var_PMS_3_PRDC_energy_Hydrocarbon = 300
@AOW_var_PMS_3_PRDC_minerals_Hydrocarbon = 500
@AOW_var_PMS_3_PRDC_energy_Volcanic = 350
@AOW_var_PMS_3_PRDC_minerals_Volcanic = 350
@AOW_var_PMS_3_PRDC_alloys_Volcanic = 50

#合成食物工厂
@AOW_var_SFF_0_TIME = 1800
@AOW_var_SFF_0_COST_alloys = 5000
@AOW_var_SFF_0_COST_unity = 2500
@AOW_var_SFF_0_UPKP_energy = 5
@AOW_var_SFF_1_TIME = 2700
@AOW_var_SFF_1_COST_alloys = 10000
@AOW_var_SFF_1_COST_unity = 2500
@AOW_var_SFF_1_UPKP_energy = 15
@AOW_var_SFF_1_PRDC_society = 50
@AOW_var_SFF_2_TIME = 3600
@AOW_var_SFF_2_COST_alloys = 7500
@AOW_var_SFF_2_COST_gases = 125
@AOW_var_SFF_2_COST_unity = 2500
@AOW_var_SFF_2_UPKP_energy = 25
@AOW_var_SFF_2_UPKP_gases = 15
@AOW_var_SFF_2_PRDC_food = 400
@AOW_var_SFF_2_PRDC_society = 200
@AOW_var_SFF_2_PRDC_unity = 50
@AOW_var_SFF_3_TIME = 3600
@AOW_var_SFF_3_COST_alloys = 7500
@AOW_var_SFF_3_COST_gases = 125
@AOW_var_SFF_3_COST_unity = 2500
@AOW_var_SFF_3_UPKP_energy = 50
@AOW_var_SFF_3_UPKP_gases = 30
@AOW_var_SFF_3_PRDC_food = 800
@AOW_var_SFF_3_PRDC_society = 400
@AOW_var_SFF_3_PRDC_unity = 100

#暗物质曲率陷阱
@AOW_var_DMCT_0_TIME = 1800
@AOW_var_DMCT_0_COST_alloys = 5000
@AOW_var_DMCT_0_COST_unity = 2500
@AOW_var_DMCT_0_UPKE_energy = 5
@AOW_var_DMCT_1_TIME = 3600
@AOW_var_DMCT_1_COST_energy = 5000
@AOW_var_DMCT_1_COST_alloys = 7500
@AOW_var_DMCT_1_COST_unity = 3750
@AOW_var_DMCT_1_PRDC_darkmatter = 12.5
@AOW_var_DMCT_1_UPKP_energy = 50
@AOW_var_DMCT_2_TIME = 3600
@AOW_var_DMCT_2_COST_energy = 5000
@AOW_var_DMCT_2_COST_alloys = 7500
@AOW_var_DMCT_2_COST_unity = 3750
@AOW_var_DMCT_2_PRDC_darkmatter = 25
@AOW_var_DMCT_2_UPKP_energy = 100

#泽珞升华器
@AOW_var_ZS_0_TIME = 1800
@AOW_var_ZS_0_COST_alloys = 5000
@AOW_var_ZS_0_COST_unity = 2500
@AOW_var_ZS_0_UPKP_energy = 5
@AOW_var_ZS_1_TIME = 3600
@AOW_var_ZS_1_COST_alloys = 10000
@AOW_var_ZS_1_COST_unity = 3750
@AOW_var_ZS_1_UPKP_energy = 25
@AOW_var_ZS_2_TIME = 3600
@AOW_var_ZS_2_COST_energy = 5000
@AOW_var_ZS_2_COST_alloys = 10000
@AOW_var_ZS_2_COST_unity = 3750
@AOW_var_ZS_2_UPKP_energy = 50
@AOW_var_ZS_2_PRDC_zro = 20

#深空监狱
@AOW_var_DSP_0_TIME = 1800
@AOW_var_DSP_0_COST_alloys = 5000
@AOW_var_DSP_0_COST_unity = 2500
@AOW_var_DSP_0_UPKE_energy = 5
@AOW_var_DSP_1_TIME = 1800
@AOW_var_DSP_1_COST_alloys = 7500
@AOW_var_DSP_1_COST_energy = 3000
@AOW_var_DSP_1_COST_unity = 2500
@AOW_var_DSP_1_PRDC_unity = 50
@AOW_var_DSP_1_UPKE_energy = 25
@AOW_var_DSP_2_TIME = 1800
@AOW_var_DSP_2_COST_alloys = 7500
@AOW_var_DSP_2_COST_energy = 3000
@AOW_var_DSP_2_COST_unity = 2500
@AOW_var_DSP_2_PRDC_unity = 100
@AOW_var_DSP_2_UPKE_energy = 50
@AOW_var_DSP_3_TIME = 1800
@AOW_var_DSP_3_COST_alloys = 7500
@AOW_var_DSP_3_COST_energy = 3000
@AOW_var_DSP_3_COST_unity = 2500
@AOW_var_DSP_3_PRDC_unity = 150
@AOW_var_DSP_3_UPKE_energy = 75
@AOW_var_DSP_4_TIME = 1800
@AOW_var_DSP_4_COST_alloys = 7500
@AOW_var_DSP_4_COST_energy = 9000
@AOW_var_DSP_4_COST_unity = 2500
@AOW_var_DSP_4_PRDC_unity = 200
@AOW_var_DSP_4_UPKE_energy = 100

#星轨
@AOW_var_HC_TIME = 900
@AOW_var_HC_COST_alloys = 5000
@AOW_var_HC_COST_energy = 5000
@AOW_var_HC_COST_influence = 100

#星网
@AOW_var_AHC_TIME = 1800
@AOW_var_AHC_COST_alloys = 5000
@AOW_var_AHC_COST_energy = 500
@AOW_var_AHC_COST_influence = 200

#星云提取器
@AOW_var_NRC_0_TIME = 1800
@AOW_var_NRC_0_COST_alloys = 5000
@AOW_var_NRC_0_COST_unity = 2500
@AOW_var_NRC_0_UPKP_energy = 5
@AOW_var_NRC_1_TIME = 2700
@AOW_var_NRC_1_COST_alloys = 8100
@AOW_var_NRC_1_COST_unity = 2000
@AOW_var_NRC_1_UPKP_energy = 20
@AOW_var_NRC_1_PRDC_minerals = 100
@AOW_var_NRC_1_PRDC_sr = 5
@AOW_var_NRC_1_PRDC_zro = 1
@AOW_var_NRC_1_PRDC_darkmatter = 1
@AOW_var_NRC_2_TIME = 2700
@AOW_var_NRC_2_COST_alloys = 8100
@AOW_var_NRC_2_COST_unity = 2000
@AOW_var_NRC_2_UPKP_energy = 40
@AOW_var_NRC_2_PRDC_minerals = 200
@AOW_var_NRC_2_PRDC_sr = 10
@AOW_var_NRC_2_PRDC_zro = 2
@AOW_var_NRC_2_PRDC_darkmatter = 2
@AOW_var_NRC_3_TIME = 2700
@AOW_var_NRC_3_COST_alloys = 8100
@AOW_var_NRC_3_COST_unity = 2000
@AOW_var_NRC_3_UPKP_energy = 60
@AOW_var_NRC_3_PRDC_minerals = 300
@AOW_var_NRC_3_PRDC_sr = 15
@AOW_var_NRC_3_PRDC_zro = 3
@AOW_var_NRC_3_PRDC_darkmatter = 3
@AOW_var_NRC_4_TIME = 2700
@AOW_var_NRC_4_COST_alloys = 8100
@AOW_var_NRC_4_COST_unity = 2000
@AOW_var_NRC_4_UPKP_energy = 80
@AOW_var_NRC_4_PRDC_minerals = 400
@AOW_var_NRC_4_PRDC_sr = 20
@AOW_var_NRC_4_PRDC_zro = 4
@AOW_var_NRC_4_PRDC_darkmatter = 4
@AOW_var_NRC_5_TIME = 2700
@AOW_var_NRC_5_COST_alloys = 8100
@AOW_var_NRC_5_COST_unity = 2000
@AOW_var_NRC_5_UPKP_energy = 100
@AOW_var_NRC_5_PRDC_minerals = 500
@AOW_var_NRC_5_PRDC_sr = 25
@AOW_var_NRC_5_PRDC_zro = 5
@AOW_var_NRC_5_PRDC_darkmatter = 5

#繁荣贸易站
@AOW_var_PTS_0_TIME = 1800
@AOW_var_PTS_0_COST_alloys = 5000
@AOW_var_PTS_0_COST_unity = 2500
@AOW_var_PTS_0_UPKP_energy = 5
@AOW_var_PTS_1_TIME = 1800
@AOW_var_PTS_1_COST_alloys = 10000
@AOW_var_PTS_1_COST_unity = 2500
@AOW_var_PTS_1_UPKP_energy = 25
@AOW_var_PTS_1_envoys_add = 1
@AOW_var_PTS_2_TIME = 1800
@AOW_var_PTS_2_COST_alloys = 10000
@AOW_var_PTS_2_COST_crystals = 250
@AOW_var_PTS_2_COST_unity = 2500
@AOW_var_PTS_2_UPKP_energy = 50
@AOW_var_PTS_2_UPKP_crystals = 10
@AOW_var_PTS_2_envoys_add = 1
@AOW_var_PTS_2_trade_value_add = 100
@AOW_var_PTS_2_trade_value_mult = 0.05
@AOW_var_PTS_2_branch_office_value_mult = 0.05
@AOW_var_PTS_3_TIME = 1800
@AOW_var_PTS_3_COST_alloys = 10000
@AOW_var_PTS_3_COST_crystals = 250
@AOW_var_PTS_3_COST_unity = 2500
@AOW_var_PTS_3_UPKP_energy = 75
@AOW_var_PTS_3_UPKP_crystals = 20
@AOW_var_PTS_3_PRDC_unity = 100
@AOW_var_PTS_3_envoys_add = 1
@AOW_var_PTS_3_trade_value_mult = 0.1
@AOW_var_PTS_3_branch_office_value_mult = 0.1
@AOW_var_PTS_4_TIME = 1800
@AOW_var_PTS_4_COST_energy = 5000
@AOW_var_PTS_4_COST_influence = 150
@AOW_var_PTS_4_UPKP_energy = 100
@AOW_var_PTS_4_PRDC_unity = 200
@AOW_var_PTS_4_envoys_add = 1
@AOW_var_PTS_4_trade_value_mult = 0.2
@AOW_var_PTS_4_branch_office_value_mult = 0.2
@AOW_var_PTS_5_TIME = 1800
@AOW_var_PTS_5_COST_energy = 5000
@AOW_var_PTS_5_COST_influence = 150
@AOW_var_PTS_5_UPKP_energy = 100
@AOW_var_PTS_5_PRDC_unity = 300
@AOW_var_PTS_5_envoys_add = 1
@AOW_var_PTS_5_trade_value_mult = 0.3
@AOW_var_PTS_5_branch_office_value_mult = 0.3

#英灵殿
@AOW_var_COM_0_TIME = 1800
@AOW_var_COM_0_COST_alloys = 5000
@AOW_var_COM_0_COST_unity = 2500
@AOW_var_COM_0_UPKP_energy = 5
@AOW_var_COM_1_TIME = 2700
@AOW_var_COM_1_COST_alloys = 10000
@AOW_var_COM_1_COST_unity = 2500
@AOW_var_COM_1_UPKP_energy = 20
@AOW_var_COM_1_PRDC_unity = 100
@AOW_var_COM_1_modifier = 0.1
@AOW_var_COM_2_TIME = 1800
@AOW_var_COM_2_COST_alloys = 10000
@AOW_var_COM_2_COST_unity = 2500
@AOW_var_COM_2_UPKP_energy = 40
@AOW_var_COM_2_PRDC_unity = 200
@AOW_var_COM_2_modifier = 0.2
@AOW_var_COM_3_TIME = 1800
@AOW_var_COM_3_COST_alloys = 10000
@AOW_var_COM_3_COST_unity = 2500
@AOW_var_COM_3_UPKP_energy = 60
@AOW_var_COM_3_PRDC_unity = 300
@AOW_var_COM_3_modifier = 0.3

#位面虹吸器
@AOW_var_PS_0_TIME = 1800
@AOW_var_PS_0_COST_alloys = 5000
@AOW_var_PS_0_COST_unity = 2500
@AOW_var_PS_0_UPKP_energy = 5
@AOW_var_PS_1_TIME = 3600
@AOW_var_PS_1_COST_alloys = 10000
@AOW_var_PS_1_COST_unity = 3750
@AOW_var_PS_1_UPKP_energy = 25
@AOW_var_PS_2_TIME = 3600
@AOW_var_PS_2_COST_energy = 10000
@AOW_var_PS_2_COST_alloys = 10000
@AOW_var_PS_2_COST_unity = 3750
@AOW_var_PS_2_UPKP_energy = 100
@AOW_var_PS_2_PRDC_astral_threads = 50
@AOW_var_PS_2_PRDC_country_resource_max_astral_threads = 10000

######################## 星河奇迹 ########################
#戴森球
@AOW_var_DS_UPKP_energy = 5
@AOW_var_DS_TIME = 3600
@AOW_var_DS_COST_alloys = 10000
@AOW_var_DS_COST_unity = 5000
@AOW_var_DS_2_PRDC_energy = 1000
@AOW_var_DS_3_PRDC_energy = 2000
@AOW_var_DS_4_PRDC_energy = 3000
@AOW_var_DS_5_PRDC_energy = 4000
@AOW_var_DS_1_UPKP_energy_MultiStar = 5
@AOW_var_DS_1_UPKP_alloys_MultiStar = 5
@AOW_var_DS_2_UPKP_energy_MultiStar = 10
@AOW_var_DS_2_UPKP_alloys_MultiStar = 10
@AOW_var_DS_3_UPKP_energy_MultiStar = 20
@AOW_var_DS_3_UPKP_alloys_MultiStar = 20
@AOW_var_DS_4_UPKP_energy_MultiStar = 30
@AOW_var_DS_4_UPKP_alloys_MultiStar = 30
@AOW_var_DS_5_UPKP_energy_MultiStar = 40
@AOW_var_DS_5_UPKP_alloys_MultiStar = 40

#戴森球特超巨星	3.0
@AOW_var_DShs_TIME = 10800
#戴森球超巨星	2.5
@AOW_var_DSss_TIME = 9000
#戴森球O		2.25
@AOW_var_DSo_TIME = 8100
#戴森球B		2
@AOW_var_DSb_TIME = 7200
#戴森球巨星	1.75
@AOW_var_DSgs_TIME = 6300
#戴森球A		1.5
@AOW_var_DSa_TIME = 5400
#戴森球F		1.25
@AOW_var_DSf_TIME = 4500
#戴森球G		1
@AOW_var_DSg_TIME = 3600
#戴森球K		0.75
@AOW_var_DSk_TIME = 2700
#戴森球M		0.5
@AOW_var_DSm_TIME = 1800

#奇迹球
@AOW_var_DSDhs_TIME = 1080
@AOW_var_DSDss_TIME = 900
@AOW_var_DSDo_TIME = 810
@AOW_var_DSDb_TIME = 720
@AOW_var_DSDgs_TIME = 630
@AOW_var_DSDa_TIME = 540
@AOW_var_DSDf_TIME = 450
@AOW_var_DSDg_TIME = 360
@AOW_var_DSDk_TIME = 270
@AOW_var_DSDm_TIME = 180
@AOW_var_DSD_COST_rc = 2500
@AOW_var_DSD_COST_unity = 3000
@AOW_var_DSD_UPKP_energy = 30
@AOW_var_DSD_PRDC_unity = 500
@AOW_var_DSD_planet_amenities_mult = 0.3

#摘星者
@AOW_var_SP_0_TIME = 1800
@AOW_var_SP_0_COST_alloys = 5000
@AOW_var_SP_0_COST_unity = 5000
@AOW_var_SP_0_UPKP_energy = 5
@AOW_var_SP_1_TIME = 3600
@AOW_var_SP_1_COST_alloys = 12500
@AOW_var_SP_1_COST_unity = 3200
@AOW_var_SP_1_UPKP_energy = 10
@AOW_var_SP_1_UPKP_energy_MultiStar = 5
@AOW_var_SP_1_UPKP_alloys_MultiStar = 5
@AOW_var_SP_2_TIME = 3600
@AOW_var_SP_2_COST_alloys = 12500
@AOW_var_SP_2_COST_unity = 3200
@AOW_var_SP_2_PRDC_minerals = 375		#500
@AOW_var_SP_2_PRDC_alloys = 62.5
@AOW_var_SP_2_UPKP_energy = 50
@AOW_var_SP_2_UPKP_energy_MultiStar = 10
@AOW_var_SP_2_UPKP_alloys_MultiStar = 10
@AOW_var_SP_3_TIME = 3600
@AOW_var_SP_3_COST_alloys = 12500
@AOW_var_SP_3_COST_unity = 3200
@AOW_var_SP_3_PRDC_minerals = 750		#1000
@AOW_var_SP_3_PRDC_alloys = 125
@AOW_var_SP_3_UPKP_energy = 100
@AOW_var_SP_3_UPKP_energy_MultiStar = 20
@AOW_var_SP_3_UPKP_alloys_MultiStar = 20
@AOW_var_SP_4_TIME = 3600
@AOW_var_SP_4_COST_alloys = 12500
@AOW_var_SP_4_COST_unity = 3200
@AOW_var_SP_4_PRDC_minerals = 1125	#1500
@AOW_var_SP_4_PRDC_alloys = 187.5
@AOW_var_SP_4_UPKP_energy = 150
@AOW_var_SP_4_UPKP_energy_MultiStar = 30
@AOW_var_SP_4_UPKP_alloys_MultiStar = 30
@AOW_var_SP_5_TIME = 3600
@AOW_var_SP_5_COST_alloys = 12500
@AOW_var_SP_5_COST_unity = 3200
@AOW_var_SP_5_PRDC_minerals = 1500	#2000
@AOW_var_SP_5_PRDC_alloys = 250
@AOW_var_SP_5_UPKP_energy = 200
@AOW_var_SP_5_UPKP_energy_MultiStar = 40
@AOW_var_SP_5_UPKP_alloys_MultiStar = 40

#风暴激发塔
@AOW_var_STT_0_TIME = 1800
@AOW_var_STT_0_COST_alloys = 5000
@AOW_var_STT_0_COST_unity = 5000
@AOW_var_STT_0_UPKP_energy = 5
@AOW_var_STT_1_TIME = 3600
@AOW_var_STT_1_COST_alloys = 12500
@AOW_var_STT_1_COST_unity = 5000
@AOW_var_STT_1_UPKP_energy = 25
@AOW_var_STT_2_TIME = 3600
@AOW_var_STT_2_COST_alloys = 12500
@AOW_var_STT_2_COST_unity = 5000
@AOW_var_STT_2_UPKP_energy = 50
@AOW_var_STT_3_TIME = 3600
@AOW_var_STT_3_COST_alloys = 12500
@AOW_var_STT_3_COST_unity = 5000
@AOW_var_STT_3_UPKP_energy = 75
@AOW_var_STT_4_TIME = 1800
